id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,pos_src,dist_src,mag_src,pm_src,rv_src,spect_src
2347419,107336.0,206766.0,,,,,21.7399623,-4.73089719,118.7999,-23.565,-3.704,14.077,6.66,1.286,A0 V,0.068,98.269,-66.035,-9.798,4.193029e-06,-1.916930136e-05,-3.3135156e-06,5.691508814,-0.08256973244,-1.142463438e-07,-1.79574987e-08,,,Aqr,1,2347419,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1833865,89382.0,165861.0,6774.0,,,,18.2400318,-70.75121362,371.0154,-4.715,-15.685,-8.793,6.7,-1.147,B7/8 II/III,-0.025,7.681,-122.071,-350.274,-1.032303286e-05,2.900962454e-05,-8.1099317e-07,4.775229153,-1.234841626,-2.2858965e-08,-7.60430258e-08,,,Pav,1,1833865,,,,,,T,G_R3,HIP,G_R3,G_R3,T
139338,8584.0,11189.0,,,,,1.84673635,40.39847911,370.591,4.956,-10.369,-5.217,8.85,1.006,A0,0.058,249.878,131.195,240.18,2.95352872e-06,1.16075315e-05,-1.764447057e-05,0.4834744453,0.7050864725,2.4027366e-08,-5.02703305e-08,,,And,1,139338,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2522162,116575.0,221921.0,,,,,23.62357563,-78.15423716,336.7875,31.18,7.384,-8.807,8.87,1.233,G8 III,1.026,68.8,-6.802,-329.615,1.491184289e-05,4.968330289e-05,1.12904976e-05,6.18463763,-1.364048761,1.511649056e-07,3.57986422e-08,,,Oct,1,2522162,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1278129,61260.0,109194.0,,,,,12.55447709,-50.65055895,66.66,75.713,37.412,,7.3,3.181,F6/7 V,0.538,-41.8216,-6.1136,-51.5482,-5.71172365e-06,-2.556315924e-05,7.66608424e-06,3.286754413,-0.8840190206,3.67066982e-07,1.813784942e-07,,,Cen,1,1278129,,,,,,T,G_R3,HIP,G_R3,N,T
2518938,116374.0,,,,,,23.58124215,-34.66978839,38.4311,451.285,-57.663,-31.601,10.18,7.257,K 5 V,1.196,31.418,-3.458,-21.861,-2.329585551e-05,8.71536418e-05,9.54783384e-06,6.173554751,-0.6051019577,2.187891418e-06,-2.795581126e-07,,,Scl,1,2518938,,,,,,T,G_R3,HIP,G_R3,G_R3,T
151961,9388.0,11844.0,,,,,2.01068222,75.9528257,255.7668,-8.602,-11.374,-52.626,7.01,-0.029,K5,1.858,53.676,31.19,248.118,5.89273978e-06,-8.91172066e-06,-5.5634336e-05,0.5263953737,1.325626883,-4.17036728e-08,-5.5142708e-08,,,Cas,1,151961,,,,,,T,G_R3,HIP,G_R3,G_R3,T
160683,9909.0,12735.0,,,,,2.12607251,66.98934585,691.1949,-4.742,3.246,,9.08,-0.118,A2,0.336,229.406,142.743,636.198,-1.0533707e-07,-1.878067916e-05,4.25234502e-06,0.5566044809,1.169184648,-2.29898647e-08,1.57370521e-08,,,Cas,1,160683,,,,,,T,G_R3,HIP,G_R3,N,T
805770,39058.0,65524.0,,,,,7.99039555,9.93581517,99.5523,-109.135,10.295,24.455,7.87,2.88,F5,0.486,-48.816,85.045,17.177,3.384490286e-05,4.684329276e-05,9.20932345e-06,2.091880661,0.1734126884,-5.291014103e-07,4.99115684e-08,,,Cnc,1,805770,,,,,,T,G_R3,HIP,G_R3,G_R3,T
283044,18163.0,24301.0,,,,,3.8831533,26.67852934,84.3682,108.381,-124.636,22.682,8.0,3.369,G0IV,0.644,39.672,64.103,37.88,-1.474207635e-05,6.041643444e-05,-3.513656033e-05,1.016607156,0.465628176,5.254459151e-07,-6.042523789e-07,,,Tau,1,283044,,,,,,T,G_R3,HIP,G_R3,G_R3,T
917727,43101.0,,,,,,8.77797133,68.9887764,936.6705,-1.718,0.302,-36.626,10.1,0.242,K,1.154,-223.28,250.873,874.391,1.56062494e-05,-5.80069768e-06,-3.44748799e-05,2.298067518,1.204081294,-8.329099e-09,1.4641373e-09,,,UMa,1,917727,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1338048,65030.0,115812.0,,,,,13.32986325,-9.10557178,174.0969,-7.807,-0.564,-36.974,8.56,2.356,G8 IV,0.957,-161.589,-58.648,-27.552,3.291834572e-05,1.895760453e-05,5.51332179e-06,3.489750034,-0.1589222077,-3.7849404e-08,-2.7343492e-09,,,Vir,1,1338048,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2506507,115604.0,,,,,,23.41833749,69.94979928,89.6296,197.113,-30.164,-14.793,9.23,4.468,G0,0.658,30.373,-4.661,84.197,2.003551979e-05,8.357934025e-05,-1.87050001e-05,6.130906411,1.220854307,9.556307902e-07,-1.462391986e-07,,,Cep,1,2506507,,,,,,T,G_R3,HIP,G_R3,G_R3,HYG
1641371,81757.0,151746.0,,,,,16.69921723,73.88739066,107.8749,-14.97,35.45,-10.0,6.82,1.655,A2,0.223,-9.999,-28.219,103.637,-4.8270968e-07,2.207885441e-05,-4.67982944e-06,4.371844843,1.289578241,-7.2576608e-08,1.718664498e-07,,,Dra,1,1641371,,,,,,T,HIP,HIP,HYG,HYG,T
123234,7615.0,10242.0,,,,,1.63472771,-66.55643267,519.9703,8.218,3.325,22.442,7.65,-0.93,K4 III,1.503,188.21,85.855,-477.048,6.70577833e-06,2.582905864e-05,-1.772219501e-05,0.4279707132,-1.161628887,3.98419883e-08,1.61200549e-08,,,Hyi,1,123234,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1631303,81274.0,149616.0,,,,,16.59930373,-0.41151349,59.2057,-28.196,47.744,-20.738,8.21,4.348,F8/G0 V,0.561,-21.227,-55.268,-0.425,1.329497e-08,2.260758514e-05,1.385642681e-05,4.345687549,-0.007182265309,-1.366980654e-07,2.314694436e-07,,,Oph,1,1631303,,,,,,T,G_R3,HIP,G_R3,G_R3,T
508232,29629.0,43157.0,2224.0,,,,6.24352903,-4.56846454,349.8012,-6.461,1.997,20.0,5.83,-1.889,B5 II/III,-0.155,-22.216,347.981,-27.862,9.61839945e-06,2.131490498e-05,1.74675452e-06,1.634552076,-0.07973474789,-3.13238119e-08,9.6817292e-09,,,Mon,1,508232,,,,,,T,G_R3,HIP,G_R3,HYG,T
304013,19495.0,26358.0,,,,,4.17658057,5.61491205,117.683,3.332,-18.982,53.275,8.64,3.286,G5,0.804,53.809,104.025,11.514,2.371004496e-05,4.997476954e-05,-5.44684694e-06,1.093426235,0.09799870237,1.61539918e-08,-9.20273328e-08,,,Tau,1,304013,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1328512,64447.0,114648.0,,,,,13.20937178,-50.47674649,406.6153,-12.425,-8.003,-20.371,8.21,0.164,G8 III,1.0,-245.905,-80.567,-313.649,1.653791999e-05,3.119306769e-05,6.02978024e-06,3.458205441,-0.8809854209,-6.02380998e-08,-3.87996389e-08,,,Cen,1,1328512,,,,,,T,G_R3,HIP,G_R3,G_R3,T
